  | BEŞİKTAŞ A.Ş. - ERZURUMSPOR FK | Skor: 3-0 | Hakem: (H) GÜRCAN HASOVA | BEŞİKTAŞ PARK
  | EYÜPSPOR - ÇAYKUR RİZESPOR A.Ş. | Skor: 0-2 | Hakem: (H) OĞUZHAN AKSU | ESENYURT NECMİ KADIOĞLU STADI
  | SAMSUNSPOR A.Ş. - ARCA ÇORUM FK | Skor: 1-5 | Hakem: (H) ALİ ŞANSALAN | SAMSUN YENİ 19 MAYIS
  | CORENDON ALANYASPOR - GÖZTEPE A.Ş. | Skor: 2-2 | Hakem: (H) OZAN ERGÜN | ALANYA OBA STADYUMU
  | TÜMOSAN KONYASPOR - TRABZONSPOR A.Ş. | Skor: 1-0 | Hakem: (H) REŞAT ONUR COŞKUNSES | MEDAŞ KONYA BÜYÜKŞEHİR STADYUMU
  | GENÇLERBİRLİĞİ - KASIMPAŞA A.Ş. | Skor: - | Hakem: (H) YASİN KOL | ERYAMAN STADYUMU
  | GALATASARAY A.Ş. - KOCAELİSPOR | Skor: - | Hakem: (H) ATİLLA KARAOĞLAN | ALİ SAMİ YEN SPOR KOMPLEKSİ RAMS PARK
  | AMED SPORTİF FAALİYETLER - İSTANBUL BAŞAKŞEHİR FK | Skor: - | Hakem: (H) CİHAN AYDIN | DİYARBAKIR STADYUMU
  | GAZİANTEP FUTBOL KULÜBÜ A.Ş. - FENERBAHÇE A.Ş. | Skor: - | Hakem: (H) MEHMET TÜRKMEN | GAZİANTEP STADYUMU
  | SMS GRUP SARIYER - BANDIRMA SPOR | Skor: 1-1 | Hakem: (H) YUSUF ADNAN KENDİRCİLER | YUSUF ZİYA ÖNİŞ
  | BOLUSPOR - ORFA YAPI PENDİKSPOR FUTBOL A.Ş. | Skor: 1-1 | Hakem: (H) HAKAN ÜLKER | BOLU ATATÜRK
  | ARTI DEĞER VAN SPOR FUTBOL KULÜBÜ - KEÇTAŞ ANKARA KEÇİÖRENGÜCÜ | Skor: 1-1 | Hakem: (H) BİRKAN ALTINDAŞ | SPOR TOTO AKHİSAR STADYUMU
  | BODRUM FK - BATMAN PETROL SPOR A.Ş. | Skor: 4-0 | Hakem: (H) ÜMİT ÖZTÜRK | BODRUM İLÇE STADYUMU
  | EMİNEVİM ÜMRANİYESPOR - ANTALYASPOR A.Ş. | Skor: 1-2 | Hakem: (H) YUSUF ZİYA GÜNDÜZ | ÜMRANİYE BELEDİYESİ ŞEHİR STADYUMU
  | EKENLER BETON SİVASSPOR - MUĞLASPOR KULÜBÜ | Skor: - | Hakem: (H) FATİH TOKAİL | 4 EYLÜL STADYUMU
  | ALAGÖZ HOLDİNG IĞDIR FUTBOL KULÜBÜ - MARDİN 1969 SPOR | Skor: - | Hakem: (H) ADNAN DENİZ KAYATEPE | AKTEPE STADI
  | MISIRLICOMTR FATİH KARAGÜMRÜK A.Ş. - MANİSA FUTBOL KULÜBÜ | Skor: - | Hakem: (H) ABDULLAH BUĞRA TAŞKINSOY | YUSUF ZİYA ÖNİŞ
  | BURSASPOR - TURKA ESENLER EROKSPOR | Skor: - | Hakem: (H) ALPER AKARSU | YÜZÜNCÜ YIL ATATÜRK STADYUMU
  | METRO HOLDİNG KAYSERİSPOR - İSTANBULSPOR A.Ş. | Skor: - | Hakem: (H) TURGUT DOMAN | KAYSERİ BÜYÜKŞEHİR BELEDİYESİ KADİR HAS STADYUMU
  | ANKARA DEMİRSPOR - FETHİYESPOR | Skor: 3-1 | Hakem: (H) HATİCE AYDİN DUYGU | ETİMESGUT BELEDİYESİ ATATÜRK STADI
